Date,Temperature
2022-01-01,19.9
2022-01-02,18.6
2022-01-03,16.0
2022-01-04,16.5
2022-01-05,15.9
2022-01-06,16.8
2022-01-07,18.4
2022-01-08,15.9
2022-01-09,18.0
2022-01-10,17.2
2022-01-11,12.4
2022-01-12,15.8
2022-01-13,19.6
2022-01-14,17.8
2022-01-15,19.9
2022-01-16,20.2
2022-01-17,20.5
2022-01-18,22.3
2022-01-19,16.9
2022-01-20,21.5
2022-01-21,16.6
2022-01-22,17.3
2022-01-23,16.8
2022-01-24,18.7
2022-01-25,20.1
2022-01-26,21.0
2022-01-27,17.7
2022-01-28,20.0
2022-01-29,23.8
2022-01-30,21.8
2022-01-31,17.8
2022-02-01,16.8
2022-02-02,18.0
2022-02-03,19.5
2022-02-04,18.2
2022-02-05,19.5
2022-02-06,22.2
2022-02-07,18.8
2022-02-08,22.3
2022-02-09,20.9
2022-02-10,22.1
2022-02-11,21.9
2022-02-12,23.3
2022-02-13,24.2
2022-02-14,21.4
2022-02-15,22.2
2022-02-16,23.0
2022-02-17,23.5
2022-02-18,23.1
2022-02-19,22.1
2022-02-20,25.3
2022-02-21,23.0
2022-02-22,23.3
2022-02-23,23.7
2022-02-24,22.3
2022-02-25,24.3
2022-02-26,27.0
2022-02-27,20.3
2022-02-28,25.6
2022-03-01,19.9
2022-03-02,21.5
2022-03-03,21.7
2022-03-04,24.2
2022-03-05,24.1
2022-03-06,22.3
2022-03-07,25.3
2022-03-08,21.3
2022-03-09,25.8
2022-03-10,22.1
2022-03-11,23.6
2022-03-12,22.4
2022-03-13,23.4
2022-03-14,26.8
2022-03-15,23.3
2022-03-16,23.2
2022-03-17,24.0
2022-03-18,30.7
2022-03-19,24.4
2022-03-20,25.0
2022-03-21,24.0
2022-03-22,24.5
2022-03-23,25.3
2022-03-24,22.0
2022-03-25,20.6
2022-03-26,25.0
2022-03-27,24.1
2022-03-28,27.3
2022-03-29,24.3
2022-03-30,27.3
2022-03-31,26.9
2022-04-01,24.5
2022-04-02,24.6
2022-04-03,23.4
2022-04-04,28.0
2022-04-05,23.5
2022-04-06,24.5
2022-04-07,24.4
2022-04-08,24.8
2022-04-09,26.5
2022-04-10,23.1
2022-04-11,30.0
2022-04-12,23.2
2022-04-13,25.4
2022-04-14,26.2
2022-04-15,26.4
2022-04-16,22.5
2022-04-17,21.8
2022-04-18,27.3
2022-04-19,21.9
2022-04-20,25.1
2022-04-21,22.8
2022-04-22,27.8
2022-04-23,24.4
2022-04-24,23.7
2022-04-25,21.4
2022-04-26,25.6
2022-04-27,21.8
2022-04-28,25.8
2022-04-29,25.3
2022-04-30,27.1
2022-05-01,26.1
2022-05-02,22.9
2022-05-03,24.1
2022-05-04,23.3
2022-05-05,27.0
2022-05-06,21.2
2022-05-07,21.5
2022-05-08,25.9
2022-05-09,23.7
2022-05-10,24.5
2022-05-11,23.3
2022-05-12,25.4
2022-05-13,20.3
2022-05-14,25.3
2022-05-15,22.6
2022-05-16,23.0
2022-05-17,22.6
2022-05-18,20.7
2022-05-19,17.7
2022-05-20,22.4
2022-05-21,20.8
2022-05-22,23.3
2022-05-23,24.4
2022-05-24,21.1
2022-05-25,18.9
2022-05-26,20.4
2022-05-27,20.2
2022-05-28,24.1
2022-05-29,21.7
2022-05-30,19.3
2022-05-31,21.3
2022-06-01,19.7
2022-06-02,20.3
2022-06-03,17.2
2022-06-04,23.1
2022-06-05,20.2
2022-06-06,21.2
2022-06-07,18.0
2022-06-08,20.3
2022-06-09,21.0
2022-06-10,18.5
2022-06-11,15.5
2022-06-12,18.8
2022-06-13,15.8
2022-06-14,21.1
2022-06-15,17.8
2022-06-16,20.0
2022-06-17,16.0
2022-06-18,13.6
2022-06-19,18.9
2022-06-20,14.8
2022-06-21,17.4
2022-06-22,12.7
2022-06-23,18.6
2022-06-24,18.9
2022-06-25,16.3
2022-06-26,12.7
2022-06-27,18.6
2022-06-28,14.5
2022-06-29,16.4
2022-06-30,19.0
2022-07-01,14.5
2022-07-02,15.7
2022-07-03,14.0
2022-07-04,14.3
2022-07-05,13.3
2022-07-06,16.5
2022-07-07,13.1
2022-07-08,11.9
2022-07-09,13.3
2022-07-10,13.5
2022-07-11,11.2
2022-07-12,11.9
2022-07-13,13.2
2022-07-14,11.6
2022-07-15,15.5
2022-07-16,11.8
2022-07-17,14.0
2022-07-18,12.9
2022-07-19,12.9
2022-07-20,12.2
2022-07-21,8.3
2022-07-22,8.6
2022-07-23,13.2
2022-07-24,14.1
2022-07-25,13.4
2022-07-26,11.2
2022-07-27,16.5
2022-07-28,12.1
2022-07-29,10.4
2022-07-30,9.5
2022-07-31,7.9
2022-08-01,7.1
2022-08-02,15.0
2022-08-03,8.8
2022-08-04,12.9
2022-08-05,13.2
2022-08-06,13.7
2022-08-07,7.8
2022-08-08,12.8
2022-08-09,4.6
2022-08-10,8.9
2022-08-11,7.6
2022-08-12,7.2
2022-08-13,10.6
2022-08-14,8.3
2022-08-15,8.1
2022-08-16,10.8
2022-08-17,9.3
2022-08-18,12.0
2022-08-19,8.1
2022-08-20,9.9
2022-08-21,7.3
2022-08-22,5.9
2022-08-23,5.6
2022-08-24,6.0
2022-08-25,7.8
2022-08-26,8.8
2022-08-27,4.3
2022-08-28,4.2
2022-08-29,7.8
2022-08-30,8.0
2022-08-31,5.9
2022-09-01,10.2
2022-09-02,5.2
2022-09-03,2.9
2022-09-04,3.8
2022-09-05,5.3
2022-09-06,7.5
2022-09-07,6.0
2022-09-08,6.9
2022-09-09,3.8
2022-09-10,8.1
2022-09-11,6.5
2022-09-12,7.8
2022-09-13,2.1
2022-09-14,3.7
2022-09-15,6.2
2022-09-16,-0.1
2022-09-17,3.6
2022-09-18,2.4
2022-09-19,3.3
2022-09-20,6.0
2022-09-21,4.0
2022-09-22,-0.5
2022-09-23,3.4
2022-09-24,3.3
2022-09-25,8.0
2022-09-26,3.8
2022-09-27,6.1
2022-09-28,3.5
2022-09-29,3.5
2022-09-30,8.0
2022-10-01,4.6
2022-10-02,3.6
2022-10-03,4.0
2022-10-04,6.2
2022-10-05,2.7
2022-10-06,5.4
2022-10-07,4.6
2022-10-08,2.9
2022-10-09,5.6
2022-10-10,5.3
2022-10-11,6.2
2022-10-12,4.4
2022-10-13,8.1
2022-10-14,2.5
2022-10-15,4.6
2022-10-16,4.0
2022-10-17,4.4
2022-10-18,4.8
2022-10-19,0.6
2022-10-20,3.6
2022-10-21,4.8
2022-10-22,7.1
2022-10-23,6.7
2022-10-24,9.9
2022-10-25,3.3
2022-10-26,0.9
2022-10-27,5.6
2022-10-28,8.6
2022-10-29,6.4
2022-10-30,3.1
2022-10-31,6.9
2022-11-01,4.9
2022-11-02,10.2
2022-11-03,5.8
2022-11-04,5.2
2022-11-05,4.1
2022-11-06,8.6
2022-11-07,8.6
2022-11-08,8.5
2022-11-09,3.1
2022-11-10,7.1
2022-11-11,7.1
2022-11-12,7.3
2022-11-13,10.4
2022-11-14,7.8
2022-11-15,7.5
2022-11-16,5.7
2022-11-17,12.0
2022-11-18,7.6
2022-11-19,6.0
2022-11-20,6.1
